WINDOW 8439 OPEN
WINDOW 8439 KEY a
WINDOW 8439 KEY s
WINDOW 8439 KEY d
WINDOW 8439 KEY a
WINDOW 8439 KEY s
WINDOW 8439 KEY d
WINDOW 8439 KEY a
WINDOW 8439 KEY s
WINDOW 8439 KEY d
WINDOW 8439 KEY a
WINDOW 8439 KEY s
WINDOW 8439 KEY d
WINDOW 8439 END
WINDOW 8467 OPEN
WINDOW 8475 OPEN
WINDOW 8477 OPEN
WINDOW 8477 KEY t
WINDOW 8477 KEY h
WINDOW 8477 KEY a
WINDOW 8477 KEY n
WINDOW 8477 KEY k
WINDOW 8477 KEY s
WINDOW 8477 KEY Return
WINDOW 8477 KEY t
WINDOW 8477 KEY h
WINDOW 8477 KEY a
WINDOW 8477 KEY n
WINDOW 8477 KEY k
WINDOW 8477 KEY s
WINDOW 8477 KEY Return
WINDOW 8477 KEY t
WINDOW 8477 KEY h
WINDOW 8477 KEY a
WINDOW 8477 KEY n
WINDOW 8477 KEY k
WINDOW 8477 KEY Return
WINDOW 8477 KEY p
WINDOW 8477 KEY l
WINDOW 8477 KEY e
WINDOW 8477 KEY a
WINDOW 8477 KEY s
WINDOW 8477 KEY e
WINDOW 8477 KEY Return
WINDOW 8477 KEY p
WINDOW 8477 KEY l
WINDOW 8477 KEY a
WINDOW 8477 KEY s
WINDOW 8477 KEY e
WINDOW 8477 KEY p
WINDOW 8477 KEY l
WINDOW 8477 KEY a
WINDOW 8477 KEY s
WINDOW 8477 KEY e
WINDOW 8477 KEY Return
WINDOW 8477 KEY p
WINDOW 8477 KEY l
WINDOW 8477 KEY a
WINDOW 8477 KEY s
WINDOW 8477 KEY e
WINDOW 8477 KEY Return
WINDOW 8477 KEY p
WINDOW 8477 KEY l
WINDOW 8477 KEY a
WINDOW 8477 KEY s
WINDOW 8477 KEY e
WINDOW 8477 KEY Return
WINDOW 8634 OPEN
WINDOW 8642 OPEN
WINDOW 8642 KEY p
WINDOW 8642 KEY l
WINDOW 8642 KEY e
WINDOW 8642 KEY a
WINDOW 8642 KEY s
WINDOW 8642 KEY e
WINDOW 8642 KEY Return
WINDOW 8642 KEY p
WINDOW 8642 KEY l
WINDOW 8642 KEY a
WINDOW 8642 KEY s
WINDOW 8642 KEY e
WINDOW 8642 KEY Return
WINDOW 8642 KEY p
WINDOW 8642 KEY l
WINDOW 8642 KEY a
WINDOW 8642 KEY s
WINDOW 8642 KEY e
WINDOW 8642 KEY Return
WINDOW 8642 KEY p
WINDOW 8642 KEY l
WINDOW 8642 KEY a
WINDOW 8642 KEY s
WINDOW 8642 KEY e
WINDOW 8642 KEY Return
WINDOW 8642 KEY t
WINDOW 8642 KEY h
WINDOW 8642 KEY a
WINDOW 8642 KEY n
WINDOW 8642 KEY k
WINDOW 8642 KEY s
WINDOW 8642 KEY Return
WINDOW 8634 END
WINDOW 8642 END
WINDOW 8677 OPEN
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 KEY a
WINDOW 8677 KEY s
WINDOW 8677 KEY d
WINDOW 8677 END
WINDOW 8898 OPEN
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 KEY d
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 KEY d
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 KEY d
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 KEY d
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 KEY d
WINDOW 8898 KEY a
WINDOW 8898 KEY s
WINDOW 8898 END
WINDOW 9246 OPEN
WINDOW 9246 KEY a
WINDOW 9246 KEY s
WINDOW 9246 KEY d
WINDOW 9246 KEY a
WINDOW 9246 KEY s
WINDOW 9246 KEY d
WINDOW 9246 KEY a
